Document,Date,Anomaly,Text_Snippet,Top_Terms
translated_2015-09 Kommentar [COMPANY_3]_page_2.txt,2015-10-12,-1,region catch global downward spiral make clear weakening chinese economy affect profit expectation raw material sector addition look price development take account market benefit strong portfolio infl,"['difference', 'portfolio', 'benchmark', 'apr', 'return', 'performance', 'history', 'date', 'calculation', 'reporting']"
translated_2015-09 Kommentar [COMPANY_3]_page_3.txt,2015-10-12,-1,commodity deflation continue quarter area commodity sector report negative return barrel brent crude oil fall percent dollar announcement reduce copper production price industrial metal fall disappoin,"['tie', 'benchmark', 'segment', 'performance', 'portfolio', 'liquidity', 'difference', 'bond', 'calculation', 'ch']"
translated_20151231_[COMPANY_2]_10011435-001_2219269_001001_page_3.txt,2016-01-12,-1,level less euro come temporary end connection ecb await price interest rate increase monetary authority give currency additional boost rate settle dollar euro dollar gain percent half year percent aus,"['difference', 'benchmark', 'tie', 'structure', 'portfolio', 'liquidity', 'bond', 'ch', 'reporting', 'information']"
translated_20151231_[COMPANY_2]_10011435-001_2219269_001001_page_4.txt,2016-01-12,-1,reduce maintain overweight corporate bond expect spread increase country yield curve rise reporting period exception lead slight negative return benchmark citigroup index hedge remain black portfolio ,"['usd', 'sek', 'account', 'current', 'fxswap', 'sell', 'gbp', 'chf', 'jpy', 'accumulate']"
translated_20151231_[COMPANY_2]_10011435-001_2219269_001001_page_1.txt,2016-01-12,-1,foundation flexible retirement construction industry dear sir like use letter explain financial market environment result investment strategy detail interest rate hike year fourth quarter focus encour,"['usd', 'market', 'transaction', 'due', 'money', 'cash', 'account', 'exchange', 'date', 'current']"
translated_20151231_[COMPANY_2]_10011435-001_2219269_001001_page_2.txt,2016-01-12,-1,collapse oil price increase likelihood certain country able pay debt thank tailwind sector dependent commodity price post significant loss apply stock commodity export country energy stock benefit pos,"['senior', 'aud', 'chf', 'code', 'aaa', 'post', 'cad', 'maturity', 'bond', 'duration']"
translated_20160331_[COMPANY_2]_Performancebegründung_page_3.txt,2016-04-12,-1,number emerge market currency stabilize addition reduce risk associate high oil price weaken dollar benefit improvement current account country gold sign trend reversal year loss upward trend energy i,"['chf', 'senior', 'aaa', 'ch0204811100', 'bat', 'maturity', 'bond', 'duration', 'rate', 'item']"
translated_20160331_[COMPANY_2]_Performancebegründung_page_1.txt,2016-04-12,-1,foundation flexible retirement construction industry dear sir like use letter explain financial market environment result investment strategy detail new stock market year unsuccessful start risky inve,"['chf', 'senior', 'eib', 'maturity', 'bond', 'duration', 'rate', 'item', 'aaa', 'report']"
translated_20160331_[COMPANY_2]_Performancebegründung_page_2.txt,2016-04-12,-1,strong pharmaceutical stock disappoint quarter financial stock particular feel impact stock market percent local currency number winner call defensive stock e stock consistent business performance eco,"['chf', 'senior', 'aaa', 'eib', 'deposit', 'maturity', 'bond', 'duration', 'rate', 'item']"
translated_20160331_[COMPANY_2]_Performancebegründung_page_4.txt,2016-04-12,-1,secure main reason slight underperformance certainty connection brexit vote weigh pound prospect interest rate hike depress dollar oil commodity price position canadian australian dollar norwegian kro,"['chf', 'senior', 'swisscom', 'bbb', 'maturity', 'bond', 'duration', 'rate', 'item', 'aaa']"
